Title,Release Date,Team,Rating,Summary,Genre 1,Genre 2,Times Listed Clean,Number of Reviews Clean,Plays Clean,Backlogs Clean,Wishlist Clean
Chaos;Head Noah,2009-02-26,5pb.,4.0,"Adventure game of psycho suspense touch that makes 'Delusion' key word. - Story advanced by two or more aspects centering on continuous bizarre murder event (The new generation's frenzy) that occurs in Shibuya. - Six heroines appear. In heroine's peculiar route, various ends and the mysteries",Adventure, Simulator,84,84,199,215,174
Nier: Automata - The End of Yorha Edition,2022-10-06,"Square Enix, PlatinumGames",4.5,"NieR: Automata tells the story of androids 2B, 9S and A2 and their battle to reclaim the machine-driven dystopia overrun by powerful machines.
             

              The NieR: Automata - The End of YoRHa Edition includes the game itself and comes packed with DLC and bonus content for the full experience of the award-winning post-apocalyptic action RPG.",Adventure, RPG,68,68,370,240,147
Phoenix Wright: Ace Attorney - Spirit of Justice,2016-06-09,Capcom,3.7,"Ace Attorney 6 continues the investigation and courtroom of its predecessors, in which players take the role of the defense attorneys; Phoenix Wright, Apollo Justice, and Athena Cykes, and try to defend their clients. The game continues the 3D navigation introduced in Phoenix Wright: Ace Attorney âˆ’ Dual Destinies, allowing players to navigate environments from various angles. Along with returning gameplay elements, such as the Mood Matrix introduced in Dual Destinies, the game introduces Spirit Medium Vision, in which the players are shown the memories of victims moment before their deaths and must find contradictions in their five senses to determine what really happened.",Adventure, Point-and-Click,402,402,2400,1200,506
Crysis,2007-11-13,"Crytek Frankfurt, Electronic Arts",3.2,"From the makers of Far Cry, Crysis offers FPS fans the best-looking, most highly-evolving gameplay, requiring the player to use adaptive tactics and total customization of weapons and armor to survive in dynamic, hostile environments including Zero-G.",Adventure, Shooter,224,224,3000,561,241
Fallout Shelter,2015-06-14,"Bethesda Game Studios, Bethesda Softworks",2.4,"Fallout Shelter puts you in control of a state-of-the-art underground Vault from Vault-Tec. Build the perfect Vault, keep your Dwellers happy, and protect them from the dangers of the Wasteland.
             

              Vault-Tec has provided the tools, but the rest is up to you. What are you waiting for? Get started building your Vault today for free.",RPG, Simulator,172,172,5300,214,38
Sonic and the Secret Rings,2007-02-20,"Sega, Sonic Team",1.9,"Sonic and the Secret Rings is a three-dimensional platform and action game featuring an on-rails style of movement. Sonic the Hedgehog, the series' main character, is the game's only player character. He is controlled exclusively with the Wii Remote, which is held horizontally like a traditional gamepad.",Platform,,362,362,3100,348,160
FTL: Faster Than Light,2012-09-14,Subset Games,3.8,"In FTL you experience the atmosphere of running a spaceship trying to save the galaxy. It's a dangerous mission, with every encounter presenting a unique challenge with multiple solutions. What will you do if a heavy missile barrage shuts down your shields? Reroute all power to the engines in an attempt to escape, power up additional weapons to blow your enemy out of the sky, or take the fight to them with a boarding party? This ""spaceship simulation roguelike-like"" allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.",Indie, RPG,325,325,3800,902,202
Mario Party 2,1999-12-17,"Hudson Soft, Nintendo",3.7,"Mario and the gang are back for another round of Bowser-bashin' party action! Watch as your favorite Nintendo characters don different duds for each of the five all-new Adventure Boards! A slew of new tricks and devices bring new levels of challenge and excitement to board game play. New board maps, new Mini-Games, new action and new surprises means a whole new batch of fun! Get ready to unleash your best Hip Drops, hammer swings and high-flying high junks for another round of frenzied multi-player action!",Card & Board Game,,348,348,3900,199,132
Attack of the Friday Monsters! A Tokyo Tale,2013-07-17,"Level-5, Millennium Kitchen",3.7,"Step into the life of Sohta, the young son of a family that has just set up a dry cleaners shop in the idyllic town of Fuji no Hana. In his interactions with the town's unique residents, episodic mysteries are revealed that portend to the strange events surrounding the appearance of a giant monster every Friday. And finally, when Friday evening falls, the giant monster will appear right before your eyes!
             

              Collect the ""Monster Glims"" scattered around town to form Monster Cards, and once you've collected five cards, Sohta can battle his friends for dominance. Winning at Monster Cards gives you the chance to collect useful information, more Monster Glims, and even to cast a secret spell on your friends that will make them fall down at your whim. Why? Because that's the rules!
             

              A touching drama about family, friendship, and the innocence of being a child unfolds against hand-drawn backgrounds, charming music, and memorable characters.",Adventure, Simulator,178,178,393,385,298
Animal Crossing,2001-12-14,"Nintendo, Nintendo EAD",3.9,"Occasionally strange but completely addictive, Nintendo's Animal Crossing for the GameCube is not so much a game as a simulation of life on a small town. Players begin the game by setting out to live life on their own in a colorful town, where they are greeted by a seemingly endless supply of things to do and characters to meet.
             

              Time passes in Animal Crossing in real-time, as the month, day, season, and time of day matches that of the player's. Holiday seasons come and go in Animal Crossing, just as they would in the real world. Experience the freedom to fish, decorate your house, go bug catching, garden, write letters, and even play original Nintendo NES games in this imaginative, and addictive game.",Simulator,,533,533,3900,389,317
Fire Emblem Fates: Revelation,2015-07-09,"Intelligent Systems Co., Ltd., Nintendo",2.3,"Fire Emblem Fates is split into three story paths. Revelation is the third story of the Fire Emblem Fates games and is available as DLC in either of the base games. You need to be have completed Chapter 6 in the either game to access the DLC's path.
             

              Revelations has the scouting missions that are available for experience and money like in Birthright but the mission objectives are more complicated like Conquest. In Revelations, the player chooses to not align with either kingdom and it reveals extra information about the Birthright and Conquest storylines.",RPG, Strategy,296,296,2500,707,244
Bloodstained: Curse of the Moon,2018-05-23,Inti Creates,3.6,"“Bloodstained: Curse of the Moon” is packed with the retro charm that made the legendary 2D action games of the 80s so enjoyable.
             

              Take control of one of four characters that can be interchanged at any time during gameplay: The sword-swinging exorcist Zangetsu, the whip-wielding heroine Miriam, the magic using alchemist Alfred, and Gebel, who can turn into a bat and take to the skies.
              
              Finally, you can experience multiple endings depending on how you interact with the characters you meet.
             

              This project is the 8-bit style game promised as a stretch goal of the 2015 Kickstarter campaign for ""Bloodstained: Ritual of the Night."" Backers of the Kickstarter campaign are encouraged to check the Kickstarter page for updates.",Adventure, Indie,341,341,2300,800,397
